,location,total_sqft,bath,price,bhk
2307,Electronics City Phase 1,1125.0,2.0,65.0,2
2309,Electronics City Phase 1,1550.0,2.0,82.0,3
2311,Electronics City Phase 1,865.0,2.0,40.0,2
2315,Electronics City Phase 1,1800.0,3.0,93.0,3
2316,Electronics City Phase 1,1314.0,2.0,60.0,2
2317,Electronics City Phase 1,1170.0,2.0,62.0,2
2318,Electronics City Phase 1,1450.0,3.0,79.0,3
2319,Electronics City Phase 1,940.0,2.0,48.0,2
2320,Electronics City Phase 1,940.0,2.0,44.0,2
2321,Electronics City Phase 1,1300.0,2.0,67.0,2
2322,Electronics City Phase 1,1028.0,2.0,51.0,2
2324,Electronics City Phase 1,1205.0,2.0,60.0,2
2326,Electronics City Phase 1,1305.0,2.0,67.0,2
2327,Electronics City Phase 1,755.0,1.0,30.12,1
2328,Electronics City Phase 1,1175.0,2.0,60.0,2
2329,Frazer Town,1700.0,3.0,180.0,3
2330,Frazer Town,1870.0,3.0,185.0,3
2331,Frazer Town,1750.0,3.0,150.0,3
2333,Frazer Town,2000.0,3.0,200.0,3
2334,Frazer Town,3500.0,4.0,330.0,3
2335,Frazer Town,2350.0,4.0,285.0,3
2336,Frazer Town,1550.0,2.0,140.0,2
2337,Frazer Town,1900.0,4.0,145.0,3
2338,Frazer Town,2560.0,3.0,265.0,3
2339,Frazer Town,2400.0,3.0,260.0,3
2340,Frazer Town,2560.0,3.0,288.0,3
2343,Frazer Town,1315.0,2.0,140.0,2
2344,Frazer Town,1706.0,3.0,154.0,3
2345,Frazer Town,2079.0,3.0,220.0,3
2347,Frazer Town,3436.0,5.0,345.0,4
2348,Frazer Town,3100.0,3.0,400.0,3
2349,Frazer Town,5400.0,3.0,400.0,3
2350,Frazer Town,1180.0,2.0,105.0,2
2351,Frazer Town,2900.0,4.0,325.0,4
2352,Frazer Town,1870.0,3.0,180.0,3
2353,Frazer Town,896.0,1.0,100.0,1
2354,Frazer Town,1420.0,2.0,120.0,2
2355,GM Palaya,1820.0,2.0,86.0,3
2356,GM Palaya,1225.0,2.0,47.0,2
2357,GM Palaya,1140.0,2.0,48.95,2
2358,GM Palaya,1315.0,2.0,65.0,3
2359,GM Palaya,1315.0,3.0,65.0,3
2360,GM Palaya,1315.0,3.0,64.0,3
2361,GM Palaya,1735.0,3.0,70.0,3
2362,GM Palaya,1643.0,2.0,70.0,3
2363,Ganga Nagar,600.0,1.0,38.0,1
2364,Ganga Nagar,845.0,2.0,55.0,2
2365,Ganga Nagar,1112.0,2.0,68.0,2
2366,Ganga Nagar,998.0,2.0,65.0,2
2367,Ganga Nagar,1250.0,2.0,65.0,2
2368,Garudachar Palya,1325.0,2.0,60.8,3
2369,Garudachar Palya,1060.0,2.0,48.7,2
2370,Garudachar Palya,1150.0,2.0,52.75,2
2371,Garudachar Palya,1295.0,2.0,59.5,3
2372,Garudachar Palya,1320.0,2.0,60.6,3
2373,Garudachar Palya,1295.0,2.0,59.5,3
2374,Garudachar Palya,1150.0,2.0,52.8,2
2375,Garudachar Palya,1150.0,2.0,52.8,2
2376,Garudachar Palya,1060.0,2.0,48.5,2
2377,Garudachar Palya,1150.0,2.0,52.5,2
2378,Garudachar Palya,1325.0,2.0,60.8,3
2379,Garudachar Palya,1060.0,2.0,48.66,2
2380,Garudachar Palya,1150.0,2.0,52.0,2
2381,Garudachar Palya,1154.0,2.0,51.8,2
2383,Giri Nagar,2400.0,4.0,400.0,4
2384,Giri Nagar,1800.0,3.0,252.0,3
2385,Giri Nagar,1350.0,3.0,240.0,3
2386,Giri Nagar,2400.0,4.0,400.0,4
2387,Giri Nagar,3000.0,4.0,375.0,6
2388,Giri Nagar,2400.0,6.0,400.0,6
2389,Giri Nagar,4000.0,3.0,750.0,4
2390,Gollarapalya Hosahalli,861.0,2.0,34.5,2
2391,Gollarapalya Hosahalli,1408.0,3.0,62.0,3
2392,Gollarapalya Hosahalli,861.0,2.0,34.5,2
2393,Gollarapalya Hosahalli,1318.0,3.0,54.0,3
2394,Gollarapalya Hosahalli,861.0,2.0,36.5,2
2395,Gollarapalya Hosahalli,1320.0,3.0,60.0,3
2396,Gollarapalya Hosahalli,1345.0,3.0,60.0,3
2397,Gollarapalya Hosahalli,1905.0,3.0,86.0,4
2398,Gollarapalya Hosahalli,1318.0,3.0,56.0,3
2399,Gollarapalya Hosahalli,1129.0,2.0,50.0,2
2400,Gottigere,1100.0,2.0,40.0,2
2401,Gottigere,967.0,2.0,45.0,2
2402,Gottigere,1618.0,3.0,82.5,3
2403,Gottigere,1222.0,2.0,63.0,2
2405,Gottigere,1300.0,3.0,65.0,3
2406,Gottigere,950.0,2.0,38.0,2
2407,Gottigere,1153.0,2.0,48.5,2
2408,Gottigere,812.0,1.0,26.0,1
2410,Gottigere,1460.0,2.0,65.0,3
2411,Gottigere,1500.0,3.0,70.0,3
2412,Gottigere,1621.0,3.0,72.0,3
2413,Gottigere,812.0,1.0,26.0,1
2414,Gottigere,990.0,2.0,40.0,2
2415,Gottigere,1235.0,2.0,63.0,2
2416,Gottigere,1385.0,3.0,64.0,3
2417,Gottigere,1000.0,2.0,35.0,2
2418,Gottigere,1010.0,2.0,35.0,2
2420,Gottigere,1410.0,2.0,45.0,2
2422,Gottigere,1435.0,2.0,62.0,3
2423,Gottigere,945.0,2.0,45.0,2
2425,Gottigere,2500.0,3.0,120.0,4
2426,Gottigere,1230.0,2.0,52.0,3
2427,Gottigere,1120.0,2.0,50.0,2
2428,Gottigere,1500.0,3.0,63.0,3
2429,Gottigere,1200.0,2.0,40.0,2
2430,Gottigere,1280.0,2.0,61.0,2
2431,Gottigere,1205.0,2.0,56.58,2
2432,Gottigere,1170.0,2.0,40.0,2
2433,Gottigere,3000.0,3.0,132.0,4
2434,Gottigere,1613.0,3.0,72.0,3
2435,Gottigere,1110.0,2.0,36.25,2
2436,Gottigere,1245.0,2.0,59.0,2
2437,Gottigere,1200.0,2.0,50.0,2
2438,Green Glen Layout,1670.0,3.0,120.0,3
2439,Green Glen Layout,3250.0,4.0,230.0,4
2440,Green Glen Layout,1776.42,3.0,105.0,3
2441,Green Glen Layout,3250.0,4.0,230.0,4
2442,Green Glen Layout,940.0,2.0,56.8,2
2443,Green Glen Layout,1075.0,2.0,60.0,2
2444,Green Glen Layout,1715.0,3.0,115.0,3
2445,Green Glen Layout,1751.0,2.0,115.0,3
2446,Green Glen Layout,1750.0,3.0,130.0,3
2447,Green Glen Layout,1530.0,3.0,105.0,3
2448,Green Glen Layout,1752.0,3.0,105.0,3
2449,Green Glen Layout,1680.0,4.0,95.0,3
2450,Green Glen Layout,1728.0,3.0,125.0,3
2451,Green Glen Layout,1645.0,3.0,110.0,3
2452,Green Glen Layout,1517.0,3.0,100.0,3
2453,Green Glen Layout,3150.0,4.0,218.0,4
2455,Green Glen Layout,1750.0,3.0,120.0,3
2456,Green Glen Layout,1751.0,3.0,115.0,3
2457,Green Glen Layout,1750.0,3.0,105.0,3
2458,Green Glen Layout,1885.0,3.0,135.0,3
2459,Green Glen Layout,1715.0,3.0,120.0,3
2460,Green Glen Layout,1623.29,2.0,105.0,3
2461,Green Glen Layout,1715.0,3.0,115.0,3
2462,Green Glen Layout,1715.0,3.0,105.0,3
2463,Green Glen Layout,1600.0,3.0,105.0,3
2464,Green Glen Layout,1717.0,3.0,125.0,3
2465,Green Glen Layout,1250.0,2.0,75.0,2
2466,Green Glen Layout,1715.0,3.0,112.0,3
2467,Gubbalala,1470.0,2.0,82.0,3
2468,Gubbalala,1745.0,3.0,104.0,3
2469,Gubbalala,1745.0,3.0,115.0,3
2470,Gubbalala,1745.0,3.0,110.0,3
2471,Gubbalala,1650.0,3.0,71.0,3
2472,Gubbalala,2570.0,4.0,141.0,5
2473,Gubbalala,1205.0,2.0,70.0,2
2474,Gubbalala,1435.0,2.0,80.0,3
2475,Gubbalala,1475.0,2.0,80.0,2
2477,Gubbalala,1100.0,2.0,49.5,2
2478,Gubbalala,1060.0,2.0,46.0,2
2479,Gubbalala,2000.0,3.0,125.0,3
2481,Gunjur,1140.0,2.0,43.0,2
2482,Gunjur,1356.0,2.0,66.0,3
2483,Gunjur,1600.0,3.0,75.0,3
2484,Gunjur,2000.0,3.0,95.0,4
2485,Gunjur,1140.0,2.0,49.11,2
2486,Gunjur,1195.0,2.0,44.0,2
2487,Gunjur,1190.0,2.0,40.0,2
2488,Gunjur,1457.0,2.0,60.0,2
2489,Gunjur,1080.0,2.0,41.0,2
2492,Gunjur,1175.0,2.0,43.48,2
2493,Gunjur,1362.0,3.0,62.63,3
2494,Gunjur,1071.0,2.0,51.0,2
2495,Gunjur,1063.0,2.0,40.0,2
2496,Gunjur,1235.0,2.0,52.76,2
2497,Gunjur,1362.0,3.0,62.63,3
2498,Gunjur,1362.0,3.0,62.63,3
2499,Gunjur,1588.0,2.0,90.0,3
2500,Gunjur,1235.0,2.0,44.5,2
2501,Gunjur,1457.0,2.0,60.0,2
2502,Gunjur Palya,1050.0,2.0,43.0,2
2503,Gunjur Palya,1033.0,2.0,32.0,3
2504,Gunjur Palya,1400.0,3.0,45.0,3
2505,Gunjur Palya,993.0,2.0,42.0,2
2506,Gunjur Palya,1235.0,2.0,52.76,2
2507,HAL 2nd Stage,1490.0,2.0,300.0,3
2508,HAL 2nd Stage,2100.0,3.0,252.0,3
2509,HAL 2nd Stage,2700.0,3.0,500.0,3
2510,HAL 2nd Stage,2040.0,4.0,500.0,5
2511,HBR Layout,2800.0,2.0,200.0,3
2512,HBR Layout,1722.0,3.0,95.0,3
2513,HBR Layout,1200.0,2.0,60.0,2
2514,HBR Layout,1004.0,2.0,49.0,2
2515,HBR Layout,1783.0,3.0,125.0,3
2516,HBR Layout,1656.0,3.0,90.0,3
2517,HBR Layout,1089.0,2.0,60.0,2
2518,HBR Layout,1700.0,3.0,110.0,3
2519,HBR Layout,1198.0,2.0,65.0,2
2520,HBR Layout,1200.0,2.0,120.0,2
2521,HBR Layout,1832.0,3.0,160.0,3
2522,HRBR Layout,1374.0,2.0,95.0,2
2523,HRBR Layout,1440.0,2.0,98.0,2
2525,HRBR Layout,2800.0,3.0,250.0,3
2526,HRBR Layout,1210.0,2.0,75.0,2
2527,HRBR Layout,1265.0,2.0,78.0,2
2528,HRBR Layout,1170.0,2.0,75.0,2
2530,HRBR Layout,1900.0,3.0,90.0,4
2531,HRBR Layout,1625.0,3.0,120.0,3
2532,HRBR Layout,1301.0,2.0,120.0,2
2533,HRBR Layout,1145.0,2.0,68.5,2
2534,HRBR Layout,1300.0,2.0,90.0,2
2536,HSR Layout,1372.0,2.0,68.0,2
2538,HSR Layout,1475.0,3.0,75.0,3
2539,HSR Layout,1467.0,2.0,55.0,2
2540,HSR Layout,1140.0,2.0,46.0,2
2541,HSR Layout,1372.0,2.0,61.0,2
2542,HSR Layout,1750.0,3.0,95.0,3
2544,HSR Layout,1027.0,2.0,44.0,2
2545,HSR Layout,1650.0,3.0,110.0,3
2546,HSR Layout,1140.0,2.0,46.0,2
2547,HSR Layout,1372.0,2.0,61.0,2
2548,HSR Layout,1140.0,2.0,46.0,2
2549,HSR Layout,1185.0,2.0,60.0,2
2550,HSR Layout,1127.0,2.0,68.0,2
2551,HSR Layout,1600.0,2.0,115.0,3
2552,HSR Layout,1145.0,2.0,48.0,2
2553,HSR Layout,1009.0,2.0,56.0,2
2554,HSR Layout,1300.0,2.0,98.0,2
2556,HSR Layout,1140.0,2.0,46.0,2
2557,HSR Layout,1126.0,2.0,69.0,2
2559,HSR Layout,1140.0,2.0,46.0,2
2560,HSR Layout,1145.0,2.0,46.0,2
2561,HSR Layout,1142.0,2.0,65.0,2
2562,HSR Layout,1145.0,2.0,46.0,2
2563,HSR Layout,1844.0,3.0,95.0,3
2564,HSR Layout,1203.0,2.0,72.0,2
2565,HSR Layout,1140.0,2.0,46.0,2
2566,HSR Layout,4200.0,5.0,245.0,5
2567,HSR Layout,1140.0,2.0,46.0,2
2568,HSR Layout,1145.0,2.0,46.0,2
2569,HSR Layout,1009.0,2.0,56.0,2
2570,HSR Layout,1145.0,2.0,46.0,2
2571,HSR Layout,1100.0,2.0,44.0,2
2572,HSR Layout,1203.0,2.0,60.0,2
2573,HSR Layout,1120.0,2.0,70.0,2
2574,HSR Layout,1140.0,2.0,46.0,2
2575,HSR Layout,1289.0,2.0,70.0,2
2576,HSR Layout,1844.0,3.0,89.0,3
2577,HSR Layout,1203.0,2.0,60.0,2
2578,HSR Layout,1140.0,2.0,46.0,2
2579,Haralur Road,1240.0,2.0,70.0,2
2580,Haralur Road,1027.0,2.0,44.0,2
2582,Haralur Road,2805.0,5.0,154.0,4
2583,Haralur Road,1194.0,2.0,47.0,2
2584,Haralur Road,1202.0,2.0,53.0,2
2585,Haralur Road,1056.0,2.0,61.0,2
2587,Haralur Road,1810.0,3.0,100.0,3
2588,Haralur Road,1194.0,2.0,46.0,2
2589,Haralur Road,2805.0,4.0,154.0,4
2590,Haralur Road,1225.0,2.0,67.38,2
2591,Haralur Road,1243.0,2.0,46.0,2
2592,Haralur Road,1027.0,2.0,44.0,2
2593,Haralur Road,1920.0,3.0,115.0,3
2594,Haralur Road,1875.0,3.0,110.0,3
2595,Haralur Road,1194.0,2.0,47.0,2
2596,Haralur Road,1140.0,2.0,43.0,2
2597,Haralur Road,1027.0,2.0,44.0,2
2598,Haralur Road,1194.0,2.0,46.0,2
2599,Haralur Road,2017.0,3.0,125.0,3
2600,Haralur Road,1140.0,2.0,43.0,2
2601,Haralur Road,1875.0,3.0,110.0,3
2602,Haralur Road,1092.0,2.0,44.0,2
2603,Haralur Road,2475.0,4.0,130.0,3
2604,Haralur Road,1300.0,2.0,73.0,2
2605,Haralur Road,1194.0,2.0,47.0,2
2606,Haralur Road,1243.0,2.0,46.0,2
2607,Haralur Road,1850.0,3.0,110.0,3
2608,Haralur Road,1225.0,2.0,67.38,2
2609,Haralur Road,1243.0,2.0,46.0,2
2610,Haralur Road,1464.0,2.0,56.0,2
2611,Haralur Road,1230.0,2.0,78.0,2
2612,Haralur Road,1000.0,2.0,44.0,2
2613,Haralur Road,3185.0,2.0,175.0,4
2614,Haralur Road,1300.0,2.0,79.0,2
2615,Haralur Road,1444.0,2.0,80.0,3
2616,Haralur Road,1088.0,2.0,68.0,2
2617,Haralur Road,1027.0,2.0,44.0,2
2619,Haralur Road,1225.0,2.0,70.0,2
2621,Haralur Road,1194.0,2.0,46.0,2
2622,Haralur Road,1830.0,3.0,101.0,3
2623,Haralur Road,1464.0,2.0,56.0,2
2624,Haralur Road,1520.0,2.0,96.0,3
2625,Haralur Road,1300.0,2.0,75.0,2
2626,Haralur Road,2017.0,2.0,125.0,3
2627,Haralur Road,1243.0,2.0,46.0,2
2628,Haralur Road,1027.0,2.0,44.0,2
2629,Haralur Road,2805.0,5.0,160.0,4
2630,Haralur Road,1243.0,2.0,46.0,2
2631,Haralur Road,1027.0,2.0,44.0,2
2632,Haralur Road,2017.0,3.0,105.0,3
2633,Haralur Road,1243.0,2.0,46.0,2
2634,Haralur Road,1243.0,2.0,46.0,2
2635,Haralur Road,1520.0,2.0,90.0,3
2636,Haralur Road,1300.0,2.0,60.0,2
2637,Haralur Road,1985.0,3.0,130.0,3
2638,Haralur Road,1056.0,2.0,60.0,2
2639,Haralur Road,1140.0,2.0,42.0,2
2640,Haralur Road,1245.0,2.0,62.0,2
2641,Haralur Road,1140.0,2.0,58.0,2
2642,Haralur Road,1140.0,2.0,42.0,2
2643,Haralur Road,1027.0,2.0,43.0,2
2644,Haralur Road,1194.0,2.0,47.0,2
2645,Haralur Road,1194.0,2.0,47.0,2
2646,Haralur Road,1560.0,3.0,90.0,3
2647,Haralur Road,1520.0,2.0,85.0,3
2648,Haralur Road,1243.0,2.0,45.0,2
2649,Haralur Road,1027.0,2.0,44.0,2
2650,Haralur Road,1194.0,2.0,46.0,2
2651,Haralur Road,1650.0,3.0,100.0,3
2652,Haralur Road,1580.0,3.0,73.0,3
2653,Haralur Road,1243.0,2.0,46.0,2
2654,Haralur Road,1194.0,2.0,47.0,2
2655,Haralur Road,2805.0,4.0,154.0,4
2656,Haralur Road,1520.0,2.0,96.0,3
2657,Haralur Road,1510.0,3.0,83.05,3
2658,Haralur Road,1056.0,2.0,65.0,2
2659,Haralur Road,1810.0,3.0,100.0,3
2660,Haralur Road,1243.0,2.0,46.0,2
2661,Haralur Road,575.0,1.0,38.0,1
2662,Haralur Road,1194.0,2.0,46.0,2
2663,Haralur Road,1243.0,2.0,46.0,2
2664,Haralur Road,1194.0,2.0,46.0,2
2665,Haralur Road,1140.0,2.0,43.0,2
2666,Haralur Road,1850.0,3.0,120.0,3
2667,Haralur Road,1194.0,2.0,47.0,2
2668,Haralur Road,1194.0,2.0,47.0,2
2670,Haralur Road,1243.0,2.0,46.0,2
2671,Haralur Road,1710.0,3.0,85.0,3
2672,Haralur Road,1730.0,3.0,95.0,3
2673,Haralur Road,1243.0,2.0,46.0,2
2674,Haralur Road,1243.0,2.0,46.0,2
2675,Haralur Road,1243.0,2.0,46.0,2
2676,Haralur Road,1817.0,3.0,110.0,3
2677,Haralur Road,1225.0,2.0,77.0,2
2678,Haralur Road,1285.0,2.0,78.0,2
2679,Haralur Road,1225.0,2.0,67.48,2
2680,Haralur Road,1225.0,2.0,69.84,2
2681,Haralur Road,1200.0,2.0,46.0,2
2682,Haralur Road,1315.0,2.0,85.0,2
2683,Haralur Road,1976.0,3.0,92.0,3
2684,Haralur Road,1300.0,2.0,75.0,2
2685,Haralur Road,1309.0,2.0,82.0,2
2686,Haralur Road,1027.0,1.0,44.0,2
2687,Haralur Road,1243.0,2.0,46.0,2
2688,Haralur Road,1243.0,2.0,46.0,2
2689,Haralur Road,1140.0,2.0,43.0,2
2690,Haralur Road,1300.0,2.0,75.0,2
2691,Haralur Road,1243.0,2.0,46.0,2
2692,Haralur Road,1890.0,3.0,84.0,3
2693,Haralur Road,1230.0,2.0,67.65,2
2694,Haralur Road,1194.0,2.0,46.0,2
2695,Haralur Road,1092.0,2.0,44.0,2
2697,Haralur Road,1735.0,3.0,97.0,3
2698,Haralur Road,1810.0,3.0,97.83,3
2699,Haralur Road,1200.0,2.0,46.0,2
2700,Haralur Road,1243.0,2.0,46.0,2
2701,Haralur Road,1810.0,3.0,112.0,3
2702,Harlur,1174.0,2.0,69.0,2
2703,Harlur,1197.0,2.0,84.0,2
2704,Harlur,1757.0,3.0,132.0,3
2705,Harlur,1174.0,2.0,76.0,2
2706,Harlur,1754.0,3.0,125.0,3
2707,Harlur,1290.0,2.0,85.0,2
2708,Harlur,1752.12,3.0,116.0,3
2709,Harlur,1754.0,3.0,124.0,3
2710,Harlur,1152.0,2.0,69.0,2
2711,Harlur,1290.0,2.0,87.0,2
2712,Harlur,1749.0,3.0,115.0,3
2713,Harlur,2240.0,5.0,155.0,3
2714,Harlur,1758.0,3.0,133.0,3
2716,Harlur,1197.0,2.0,79.0,2
2717,Harlur,1174.0,2.0,78.0,2
2719,Harlur,1197.0,2.0,79.0,2
2721,Harlur,1174.0,2.0,75.0,2
2722,Harlur,1620.0,3.0,110.0,3
2725,Harlur,1762.0,3.0,133.0,3
2726,Harlur,1756.0,3.0,131.0,3
2727,Harlur,1755.0,3.0,130.0,3
2728,Harlur,1864.0,3.0,140.0,3
2729,Harlur,1331.0,2.0,88.0,2
2730,Harlur,1756.0,3.0,128.0,3
2731,Harlur,1749.0,3.0,120.0,3
2732,Harlur,1197.0,2.0,82.0,2
2733,Harlur,1303.0,2.0,90.0,2
2734,Harlur,1754.0,3.0,132.0,3
2735,Harlur,1174.0,2.0,75.0,2
2736,Harlur,1197.0,2.0,78.0,2
2737,Harlur,1290.0,2.0,89.9,2
2738,Harlur,1386.0,2.0,85.0,2
2739,Harlur,1174.0,2.0,74.0,2
2740,Harlur,1174.0,2.0,78.0,2
2741,Harlur,1755.0,3.0,115.0,3
2744,Harlur,1197.0,2.0,77.0,2
2745,Harlur,1752.12,3.0,125.0,3
2746,Harlur,2569.0,5.0,180.0,4
2747,Harlur,1197.0,2.0,76.0,2
2748,Harlur,1197.0,2.0,75.0,2
2749,Harlur,1755.0,3.0,117.0,3
2750,Harlur,1197.0,2.0,79.9,2
2751,Harlur,2990.0,4.0,225.0,4
2752,Harlur,1370.0,2.0,88.0,2
2753,Harlur,1335.0,2.0,72.76,2
2754,Hebbal,1760.0,2.0,123.0,3
2755,Hebbal,5611.5,4.0,477.0,4
2757,Hebbal,1349.0,2.0,98.2,2
2758,Hebbal,2483.0,5.0,212.0,4
2759,Hebbal,1760.0,2.0,130.0,3
2760,Hebbal,3450.0,5.0,260.0,3
2761,Hebbal,1920.0,3.0,134.0,3
2762,Hebbal,1337.0,2.0,82.0,2
2763,Hebbal,1349.0,2.0,98.0,2
2766,Hebbal,1790.0,3.0,127.0,3
2767,Hebbal,687.325,2.0,42.72,2
2768,Hebbal,2790.0,5.0,198.0,4
2769,Hebbal,1985.0,4.0,189.0,3
2770,Hebbal,2483.0,5.0,215.0,4
2771,Hebbal,1080.0,2.0,54.0,2
2772,Hebbal,812.0,2.0,55.0,2
2773,Hebbal,2790.0,4.0,198.0,4
2774,Hebbal,3067.0,4.0,230.0,4
2775,Hebbal,3067.0,4.0,230.0,4
2777,Hebbal,823.0,2.0,50.63,2
2778,Hebbal,1420.0,2.0,123.0,2
2780,Hebbal,1420.0,2.0,99.39,2
2781,Hebbal,4235.0,4.0,365.0,4
2782,Hebbal,1700.0,3.0,124.0,3
2783,Hebbal,3960.0,5.0,386.0,4
2784,Hebbal,1420.0,2.0,99.39,2
2786,Hebbal,1440.0,2.0,115.0,2
2788,Hebbal,2400.0,4.0,180.0,3
2790,Hebbal,1420.0,2.0,107.0,2
2791,Hebbal,1320.0,2.0,92.0,2
2792,Hebbal,919.0,2.0,49.0,2
2793,Hebbal,1645.0,3.0,135.0,3
2794,Hebbal,2080.0,3.0,175.0,3
2796,Hebbal,2483.0,5.0,230.0,4
2797,Hebbal,2600.0,3.0,195.0,3
2798,Hebbal,1645.0,3.0,117.0,3
2799,Hebbal,1251.0,2.0,88.73,2
2800,Hebbal,1645.0,3.0,121.0,3
2801,Hebbal,1760.0,3.0,123.0,3
2802,Hebbal,2790.0,4.0,198.0,4
2803,Hebbal,3960.0,5.0,386.0,4
2804,Hebbal,1645.0,3.0,120.0,3
2805,Hebbal,1255.0,2.0,90.0,3
2806,Hebbal,1645.0,3.0,117.0,3
2809,Hebbal,1636.0,3.0,119.0,3
2810,Hebbal,2661.0,2.0,226.5,3
2811,Hebbal,1255.0,2.0,95.0,3
2812,Hebbal,2790.0,4.0,198.0,4
2814,Hebbal,1255.0,2.0,95.0,3
2815,Hebbal,1088.0,2.0,61.45,2
2816,Hebbal,1349.0,2.0,97.8,2
2818,Hebbal,1344.0,2.0,108.0,2
2819,Hebbal,1255.0,2.0,90.0,3
2821,Hebbal,1138.0,2.0,110.0,2
2822,Hebbal,2790.0,5.0,204.0,4
2823,Hebbal,1088.0,2.0,62.0,2
2824,Hebbal,1987.0,4.0,165.0,3
2825,Hebbal,2790.0,5.0,198.0,4
2826,Hebbal,1299.0,2.0,100.0,2
2827,Hebbal,1200.0,2.0,60.0,2
2828,Hebbal,1645.0,3.0,117.0,3
2829,Hebbal,1390.0,2.0,95.0,2
2830,Hebbal,1333.0,2.0,100.0,2
2832,Hebbal,2650.0,4.0,199.0,3
2833,Hebbal,1800.0,3.0,140.0,3
2835,Hebbal,2470.0,4.0,203.0,4
2836,Hebbal,1255.0,2.0,95.0,3
2837,Hebbal,1333.0,2.0,104.0,2
2838,Hebbal,1645.0,3.0,117.0,3
2839,Hebbal,2600.0,3.0,199.0,3
2840,Hebbal,1345.0,2.0,97.0,2
2842,Hebbal,985.0,2.0,62.0,2
2843,Hebbal,1320.0,2.0,91.0,2
2844,Hebbal,2388.0,3.0,195.0,3
2845,Hebbal,1040.0,2.0,55.0,2
2847,Hebbal,2600.0,3.0,195.0,3
2848,Hebbal,2630.0,5.0,188.0,4
2849,Hebbal,2790.0,5.0,198.0,4
2850,Hebbal,1645.0,3.0,113.0,3
2852,Hebbal,1420.0,2.0,99.39,2
2854,Hebbal,3520.0,5.0,320.0,3
2855,Hebbal,1162.0,2.0,69.0,2
2856,Hebbal,1100.0,2.0,60.0,2
2857,Hebbal,4235.0,5.0,364.0,4
2858,Hebbal,1299.0,2.0,97.0,2
2860,Hebbal,2470.0,5.0,192.0,4
2861,Hebbal,1645.0,3.0,117.0,3
2862,Hebbal,1920.0,3.0,134.0,3
2864,Hebbal,1920.0,3.0,150.0,3
2865,Hebbal,2375.0,4.0,189.0,4
2866,Hebbal,1420.0,2.0,99.26,2
2867,Hebbal,1252.0,2.0,92.0,2
2868,Hebbal,2790.0,4.0,198.0,4
2869,Hebbal,1162.0,2.0,59.0,2
2870,Hebbal,1294.0,2.0,115.0,2
2871,Hebbal,4225.0,6.0,359.0,4
2872,Hebbal,1150.0,2.0,57.0,2
2873,Hebbal,1740.0,2.0,137.0,3
2875,Hebbal,1662.0,3.0,155.0,3
2876,Hebbal,2250.0,3.0,219.0,3
2877,Hebbal,1349.0,2.0,98.0,2
2878,Hebbal,4000.0,6.0,370.0,4
2879,Hebbal,1349.0,2.0,96.8,2
2880,Hebbal Kempapura,1700.0,3.0,155.0,3
2881,Hebbal Kempapura,1800.0,3.0,175.0,3
2882,Hebbal Kempapura,2900.0,4.0,300.0,3
2883,Hebbal Kempapura,3522.0,3.0,380.0,3
2884,Hebbal Kempapura,2280.0,5.0,200.0,5
2885,Hebbal Kempapura,1200.0,2.0,125.0,2
2886,Hebbal Kempapura,2900.0,4.0,240.0,3
2888,Hebbal Kempapura,1300.0,2.0,102.0,2
2889,Hebbal Kempapura,1466.0,2.0,140.0,3
2891,Hebbal Kempapura,1725.0,2.0,165.0,3
2892,Hebbal Kempapura,1200.0,3.0,125.0,3
2893,Hebbal Kempapura,3408.0,3.0,260.0,3
2894,Hebbal Kempapura,1485.0,3.0,132.0,2
2895,Hebbal Kempapura,1400.0,2.0,108.0,2
2896,Hebbal Kempapura,1800.0,3.0,150.0,3
2897,Hebbal Kempapura,2400.0,5.0,200.0,5
2898,Hebbal Kempapura,2800.0,5.0,220.0,5
2899,Hebbal Kempapura,1785.0,3.0,165.0,3
2900,Hebbal Kempapura,3729.0,4.0,384.0,4
2901,Hebbal Kempapura,1600.0,3.0,170.0,3
2902,Hebbal Kempapura,1730.0,3.0,175.0,3
2904,Hegde Nagar,1569.0,3.0,101.0,3
2905,Hegde Nagar,3000.0,7.0,210.0,6
2906,Hegde Nagar,2026.0,3.0,132.0,3
2907,Hegde Nagar,1801.0,3.0,115.0,3
2908,Hegde Nagar,1050.0,1.0,56.0,2
2909,Hegde Nagar,1341.0,2.0,97.0,2
2910,Hegde Nagar,2112.95,4.0,145.0,3
2911,Hegde Nagar,1703.0,3.0,113.0,3
2912,Hegde Nagar,1570.0,3.0,105.0,3
2913,Hegde Nagar,1801.0,3.0,140.0,3
2914,Hegde Nagar,1584.01,3.0,103.0,3
2915,Hegde Nagar,1965.0,4.0,125.0,3
2916,Hegde Nagar,1200.0,2.0,75.0,2
2917,Hegde Nagar,1847.0,3.0,135.0,3
2918,Hegde Nagar,1965.0,4.0,132.0,3
2919,Hegde Nagar,1703.0,3.0,125.0,3
2920,Hegde Nagar,1847.0,3.0,125.0,3
2921,Hegde Nagar,2144.6,4.0,145.0,3
2922,Hegde Nagar,1718.0,3.0,119.0,3
2923,Hegde Nagar,1847.0,3.0,123.0,3
2924,Hegde Nagar,1340.0,2.0,72.0,2
2925,Hegde Nagar,2087.01,3.0,115.0,3
2926,Hegde Nagar,1703.0,3.0,130.0,3
2927,Hegde Nagar,2087.01,4.0,135.0,3
2928,Hegde Nagar,1718.0,3.0,130.0,3
